,Variable Name,Variable Label,Variable Order in File,Variable Type,Length
0,DOEID,Unique identifier for each respondent,1,Character,5
1,REGIONC,Census Region,2,Numeric,8
2,DIVISION,Census Division,3,Numeric,8
3,REPORTABLE_DOMAIN,Reportable states and groups of states,4,Numeric,8
4,TYPEHUQ,Type of housing unit,5,Numeric,8
5,NWEIGHT,Final sample weight,6,Numeric,8
6,HDD65,"Heating degree days in 2009, base temperature 65F",7,Numeric,8
7,CDD65,"Cooling degree days in 2009, base temperature 65F",8,Numeric,8
8,HDD30YR,"Heating degree days, 30-year average 1981-2010, base 65F",9,Numeric,8
9,CDD30YR,"Cooling degree days, 30-year average 1981-2010, base 65F",10,Numeric,8
10,Climate_Region_Pub,Building America Climate Region (collapsed for public file),11,Numeric,8
11,AIA_Zone,"AIA Climate Zone, based on average temperatures from 1981 - 2010",12,Numeric,8
12,METROMICRO,Housing unit in Census Metropolitan Statistical Area or Micropolitan Statistical Area,13,Character,5
13,UR,Housing unit classified as urban or rural by Census,14,Character,1
14,KOWNRENT,"Housing unit is owned, rented, or occupied without payment of rent",15,Numeric,8
15,CONDCOOP,Housing unit part of condominium or cooperative,16,Numeric,8
16,YEARMADE,Year housing unit was built,17,Numeric,8
17,YEARMADERANGE,Year range when housing unit was built,18,Numeric,8
18,OCCUPYYRANGE,Year range when household moved in,19,Numeric,8
19,CONVERSION,Converted 2-4 unit apartment building,20,Numeric,8
20,ORIG1FAM,Converted 2-4 unit apartment building was originally a single-family house,21,Numeric,8
21,LOOKLIKE,Converted 2-4 unit apartment building more like single family house or apartment building,22,Numeric,8
22,NUMFLRS,Number of floors in a 5+ unit apartment building,23,Numeric,8
23,NUMAPTS,Number of apartment units in a 5+ unit apartment building,24,Numeric,8
24,WALLTYPE,Major outside wall material,25,Numeric,8
25,ROOFTYPE,Major roofing material,26,Numeric,8
26,STUDIO,Studio apartment,27,Numeric,8
27,NAPTFLRS,Number of floors in an apartment (Number of levels in housing unit that is an apartment),28,Numeric,8
28,STORIES,Number of stories in a single-family home,29,Numeric,8
29,TYPEHUQ4,Addition to a mobile home,30,Numeric,8
30,BEDROOMS,Number of bedrooms,31,Numeric,8
31,NCOMBATH,Number of full bathrooms,32,Numeric,8
32,NHAFBATH,Number of half bathrooms,33,Numeric,8
33,OTHROOMS,Number of rooms other than bedroom(s) and bathroom(s),34,Numeric,8
34,TOTROOMS,Total number of rooms in the housing unit,35,Numeric,8
35,CELLAR,Basement in housing unit,36,Numeric,8
36,CRAWL,Housing unit over a crawl space,37,Numeric,8
37,CONCRETE,Housing unit over a concrete slab,38,Numeric,8
38,BASEFIN,Finished basement,39,Numeric,8
39,FINBASERMS,Number of finished rooms in the basement,40,Numeric,8
40,BASEHEAT,Heating used in basement,41,Numeric,8
41,BASEHT2,All or partial basement heating,42,Numeric,8
42,PCTBSTHT,Portion of the basement which is heated,43,Numeric,8
43,BASECOOL,Cooling used in basement,44,Numeric,8
44,BASECL2,All or partial basement cooling,45,Numeric,8
45,PCTBSTCL,Portion of the basement which is cooled,46,Numeric,8
46,BASEUSE,Portion of basement exclusively used by housing unit in apartment building with 2-4 units,47,Numeric,8
47,ATTIC,Attic in housing unit,48,Numeric,8
48,ATTICFIN,Finished attic,49,Numeric,8
49,FINATTRMS,Number of finished rooms in the attic,50,Numeric,8
50,ATTCHEAT,Heating used in attic,51,Numeric,8
51,ATTCHT2,All or partial attic heating,52,Numeric,8
52,PCTATTHT,Portion of the attic which is heated,53,Numeric,8
53,ATTCCOOL,Cooling used in attic,54,Numeric,8
54,ATTCCL2,All or partial attic cooling,55,Numeric,8
55,PCTATTCL,Portion of the attic which is cooled,56,Numeric,8
56,ATTICUSE,Portion of attic exclusively used by housing unit in apartment building with 2-4 units,57,Numeric,8
57,PRKGPLC1,Attached garage,58,Numeric,8
58,SIZEOFGARAGE,Size of attached garage,59,Numeric,8
59,GARGLOC,Location of attached garage,60,Numeric,8
60,GARGHEAT,Heating used in attached garage,61,Numeric,8
61,GARGCOOL,Cooling used in attached garage,62,Numeric,8
62,PRKGPLC2,Detached garage or carport,63,Numeric,8
63,SIZEOFDETACH,Size of detached garage or carport,64,Numeric,8
64,OUTLET,Outlet within 20 feet of vehicle parking,65,Numeric,8
65,ZKOWNRENT,Imputation flag for KOWNRENT,66,Numeric,8
66,ZCONDCOOP,Imputation flag for CONDCOOP,67,Numeric,8
67,ZYEARMADE,Imputation flag for YEARMADE,68,Numeric,8
68,ZYEARMADERANGE,Imputation flag for YEARMADERANGE,69,Numeric,8
69,ZOCCUPYYRANGE,Imputation flag for OCCUPYYRANGE,70,Numeric,8
70,ZCONVERSION,Imputation flag for CONVERSION,71,Numeric,8
71,ZORIG1FAM,Imputation flag for ORIG1FAM,72,Numeric,8
72,ZLOOKLIKE,Imputation flag for LOOKLIKE,73,Numeric,8
73,ZNUMFLRS,Imputation flag for NUMFLRS,74,Numeric,8
74,ZNUMAPTS,Imputation flag for NUMAPTS,75,Numeric,8
75,ZWALLTYPE,Imputation flag for WALLTYPE,76,Numeric,8
76,ZROOFTYPE,Imputation flag for ROOFTYPE,77,Numeric,8
77,ZSTUDIO,Imputation flag for STUDIO,78,Numeric,8
78,ZNAPTFLRS,Imputation flag for NAPTFLRS,79,Numeric,8
79,ZSTORIES,Imputation flag for STORIES,80,Numeric,8
80,ZTYPEHUQ4,Imputation flag for TYPEHUQ4,81,Numeric,8
81,ZBEDROOMS,Imputation flag for BEDROOMS,82,Numeric,8
82,ZNCOMBATH,Imputation flag for NCOMBATH,83,Numeric,8
83,ZNHAFBATH,Imputation flag for NHAFBATH,84,Numeric,8
84,ZOTHROOMS,Imputation flag for OTHROOMS,85,Numeric,8
85,ZCELLAR,Imputation flag for CELLAR,86,Numeric,8
86,ZCRAWL,Imputation flag for CRAWL,87,Numeric,8
87,ZCONCRETE,Imputation flag for CONCRETE,88,Numeric,8
88,ZBASEFIN,Imputation flag for BASEFIN,89,Numeric,8
89,ZFINBASERMS,Imputation flag for FINBASERMS,90,Numeric,8
90,ZBASEHEAT,Imputation flag for BASEHEAT,91,Numeric,8
91,ZBASEHT2,Imputation flag for BASEHT2,92,Numeric,8
92,ZPCTBSTHT,Imputation flag for PCTBSTHT,93,Numeric,8
93,ZBASECOOL,Imputation flag for BASECOOL,94,Numeric,8
94,ZBASECL2,Imputation flag for BASECL2,95,Numeric,8
95,ZPCTBSTCL,Imputation flag for PCTBSTCL,96,Numeric,8
96,ZBASEUSE,Imputation flag for BASEUSE,97,Numeric,8
97,ZATTIC,Imputation flag for ATTIC,98,Numeric,8
98,ZATTICFIN,Imputation flag for ATTICFIN,99,Numeric,8
99,ZFINATTRMS,Imputation flag for FINATTRMS,100,Numeric,8
100,ZATTCHEAT,Imputation flag for ATTCHEAT,101,Numeric,8
101,ZATTCHT2,Imputation flag for ATTCHT2,102,Numeric,8
102,ZPCTATTHT,Imputation flag for PCTATTHT,103,Numeric,8
103,ZATTCCOOL,Imputation flag for ATTCCOOL,104,Numeric,8
104,ZPCTATTCL,Imputation flag for PCTATTCL,105,Numeric,8
105,ZATTCCL2,Imputation flag for ATTCCL2,106,Numeric,8
106,ZATTICUSE,Imputation flag for ATTICUSE,107,Numeric,8
107,ZPRKGPLC1,Imputation flag for PRKGPLC1,108,Numeric,8
108,ZSIZEOFGARAGE,Imputation flag for SIZEOFGARAGE,109,Numeric,8
109,ZGARGLOC,Imputation flag for GARGLOC,110,Numeric,8
110,ZGARGHEAT,Imputation flag for GARGHEAT,111,Numeric,8
111,ZGARGCOOL,Imputation flag for GARGCOOL,112,Numeric,8
112,ZPRKGPLC2,Imputation flag for PRKGPLC2,113,Numeric,8
113,ZSIZEOFDETACH,Imputation flag for SIZEOFDETACH,114,Numeric,8
114,STOVEN,Number of stoves (one appliance with cooktop and an oven),115,Numeric,8
115,STOVENFUEL,Fuel used by most-used stove,116,Numeric,8
116,STOVE,Number of separate cooktops,117,Numeric,8
117,STOVEFUEL,Fuel used by most-used separate cooktop,118,Numeric,8
118,OVEN,Number of separate ovens,119,Numeric,8
119,OVENFUEL,Fuel used by separate oven,120,Numeric,8
120,OVENUSE,Frequency of oven use,121,Numeric,8
121,OVENCLN,Self-cleaning oven,122,Numeric,8
122,TYPECLN,Continuous or manual cleaning cycle for most-used oven,123,Numeric,8
123,MICRO,Microwave oven used,124,Numeric,8
124,AMTMICRO,Microwave usage,125,Numeric,8
125,DEFROST,Microwave used for defrosting,126,Numeric,8
126,OUTGRILL,Outdoor grill used,127,Numeric,8
127,OUTGRILLFUEL,Fuel used by outdoor grill,128,Numeric,8
128,TOPGRILL,Built-in indoor grill used,129,Numeric,8
129,STGRILA,Fuel used by built-in indoor grill,130,Numeric,8
130,TOASTER,Toaster used,131,Numeric,8
131,NUMMEAL,Frequency hot meals are cooked,132,Numeric,8
132,FUELFOOD,Most-used cooking fuel,133,Numeric,8
133,COFFEE,Coffee maker used,134,Numeric,8
134,NUMFRIG,Number of refrigerators used,135,Numeric,8
135,TYPERFR1,Door arrangement of most-used refrigerator,136,Numeric,8
136,SIZRFRI1,Size of most-used refrigerator,137,Numeric,8
137,REFRIGT1,Defrosting type of most-used refrigerator,138,Numeric,8
138,ICE,Through-the-door ice and water on most-used refrigerator,139,Numeric,8
139,AGERFRI1,Age of most-used refrigerator,140,Numeric,8
140,ESFRIG,Energy Star most-used refrigerator,141,Numeric,8
141,REPLCFRI,Most-used refrigerator replaced by this household in the last 4 years,142,Numeric,8
142,HELPFRI,Assistance for replacing most-used refrigerator,143,Numeric,8
143,HELPFRIY,Year of assistance for most-used refrigerator,144,Numeric,8
144,TYPERFR2,Door arrangement of second most-used refrigerator,145,Numeric,8
145,SIZRFRI2,Size of second most-used refrigerator,146,Numeric,8
146,REFRIGT2,Defrosting type of second most-used refrigerator,147,Numeric,8
147,MONRFRI2,Number of months second most-used refrigerator used in 2009,148,Numeric,8
148,AGERFRI2,Age of second most-used refrigerator,149,Numeric,8
149,ESFRIG2,Energy Star second most-used refrigerator,150,Numeric,8
150,TYPERFR3,Door arrangements of third most-used refrigerator,151,Numeric,8
151,SIZRFRI3,Size of third most-used refrigerator,152,Numeric,8
152,REFRIGT3,Defrosting type of third most-used refrigerator,153,Numeric,8
153,MONRFRI3,Number of months third most-used refrigerator used in 2009,154,Numeric,8
154,AGERFRI3,Age of third most-used refrigerator,155,Numeric,8
155,ESFRIG3,Energy Star third most-used refrigerator,156,Numeric,8
156,SEPFREEZ,Separate freezer used,157,Numeric,8
157,NUMFREEZ,Number of separate freezers used,158,Numeric,8
158,UPRTFRZR,Type of most-used freezer,159,Numeric,8
159,SIZFREEZ,Size of most-used freezer,160,Numeric,8
160,FREEZER,Defrosting type for most-used freezer,161,Numeric,8
161,AGEFRZR,Age of most-used freezer,162,Numeric,8
162,REPLCFRZ,Most-used freezer replaced by this household in the last 4 years,163,Numeric,8
163,HELPFRZ,Assistance for replacing most-used freezer,164,Numeric,8
164,HELPFRZY,Year of assistance for most-used freezer,165,Numeric,8
165,UPRTFRZR2,Type of second most-used freezer,166,Numeric,8
166,SIZFREEZ2,Size of second most-used freezer,167,Numeric,8
167,FREEZER2,Defrosting type for second most-used freezer,168,Numeric,8
168,AGEFRZR2,Age of second most-used freezer,169,Numeric,8
169,DISHWASH,Dishwasher used,170,Numeric,8
170,DWASHUSE,Frequency dishwasher used,171,Numeric,8
171,AGEDW,Age of dishwasher,172,Numeric,8
172,ESDISHW,Energy Star dishwasher,173,Numeric,8
173,REPLCDW,Dishwasher replaced by this household in the last 4 years,174,Numeric,8
174,HELPDW,Assistance for replacing dishwasher,175,Numeric,8
175,HELPDWY,Year of assistance for dishwasher,176,Numeric,8
176,ZSTOVEN,Imputation flag for STOVEN,177,Numeric,8
177,ZSTOVENFUEL,Imputation flag for STOVENFUEL,178,Numeric,8
178,ZSTOVE,Imputation flag for STOVE,179,Numeric,8
179,ZSTOVEFUEL,Imputation flag for STOVEFUEL,180,Numeric,8
180,ZOVEN,Imputation flag for OVEN,181,Numeric,8
181,ZOVENFUEL,Imputation flag for OVENFUEL,182,Numeric,8
182,ZOVENUSE,Imputation flag for OVENUSE,183,Numeric,8
183,ZOVENCLN,Imputation flag for OVENCLN,184,Numeric,8
184,ZTYPECLN,Imputation flag for TYPECLN,185,Numeric,8
185,ZMICRO,Imputation flag for MICRO,186,Numeric,8
186,ZAMTMICRO,Imputation flag for AMTMICRO,187,Numeric,8
187,ZDEFROST,Imputation flag for DEFROST,188,Numeric,8
188,ZOUTGRILL,Imputation flag for OUTGRILL,189,Numeric,8
189,ZOUTGRILLFUEL,Imputation flag for OUTGRILL,190,Numeric,8
190,ZTOPGRILL,Imputation flag for TOPGRILL,191,Numeric,8
191,ZSTGRILA,Imputation flag for STGRILA,192,Numeric,8
192,ZTOASTER,Imputation flag for TOASTER,193,Numeric,8
193,ZNUMMEAL,Imputation flag for NUMMEAL,194,Numeric,8
194,ZFUELFOOD,Imputation flag for FUELFOOD,195,Numeric,8
195,ZCOFFEE,Imputation flag for COFFEE,196,Numeric,8
196,ZNUMFRIG,Imputation flag for NUMFRIG,197,Numeric,8
197,ZTYPERFR1,Imputation flag for TYPERFR1,198,Numeric,8
198,ZSIZRFRI1,Imputation flag for SIZRFRI1,199,Numeric,8
199,ZREFRIGT1,Imputation flag for REFRIGT1,200,Numeric,8
200,ZICE,Imputation flag for ICE,201,Numeric,8
201,ZAGERFRI1,Imputation flag for AGERFRI1,202,Numeric,8
202,ZTYPERFR2,Imputation flag for TYPERFR2,203,Numeric,8
203,ZSIZRFRI2,Imputation flag for SIZRFRI2,204,Numeric,8
204,ZREFRIGT2,Imputation flag for REFRIGT2,205,Numeric,8
205,ZMONRFRI2,Imputation flag for MONRFRI2,206,Numeric,8
206,ZAGERFRI2,Imputation flag for AGERFRI2,207,Numeric,8
207,ZTYPERFR3,Imputation flag for TYPERFR3,208,Numeric,8
208,ZSIZRFRI3,Imputation flag for SIZRFRI3,209,Numeric,8
209,ZREFRIGT3,Imputation flag for REFRIGT3,210,Numeric,8
210,ZMONRFRI3,Imputation flag for MONRFRI3,211,Numeric,8
211,ZAGERFRI3,Imputation flag for AGERFRI3,212,Numeric,8
212,ZSEPFREEZ,Imputation flag for SEPFREEZ,213,Numeric,8
213,ZNUMFREEZ,Imputation flag for NUMFREEZ,214,Numeric,8
214,ZUPRTFRZR,Imputation flag for UPRTFRZR,215,Numeric,8
215,ZSIZFREEZ,Imputation flag for SIZFREEZ,216,Numeric,8
216,ZFREEZER,Imputation flag for FREEZER,217,Numeric,8
217,ZAGEFRZR,Imputation flag for AGEFRZR,218,Numeric,8
218,ZUPRTFRZR2,Imputation flag for UPRTFRZR2,219,Numeric,8
219,ZSIZFREEZ2,Imputation flag for SIZFREEZ2,220,Numeric,8
220,ZFREEZER2,Imputation flag for FREEZER2,221,Numeric,8
221,ZAGEFRZR2,Imputation flag for AGEFRZR2,222,Numeric,8
222,ZDISHWASH,Imputation flag for DISHWASH,223,Numeric,8
223,ZDWASHUSE,Imputation flag for DWASHUSE,224,Numeric,8
224,ZAGEDW,Imputation flag for AGEDW,225,Numeric,8
225,CWASHER,Clothes washer used in home,226,Numeric,8
226,TOPFRONT,Top or front loading clothes washer used in home,227,Numeric,8
227,WASHLOAD,Frequency clothes washer used,228,Numeric,8
228,WASHTEMP,Water temperature used for clothes washer wash cycle,229,Numeric,8
229,RNSETEMP,Water temperature used for clothes washer rinse cycle,230,Numeric,8
230,AGECWASH,Age of clothes washer,231,Numeric,8
231,ESCWASH,Energy Star clothes washer,232,Numeric,8
232,REPLCCW,Clothes washer replaced by this household in the last 4 years,233,Numeric,8
233,HELPCW,Assistance for replacing clothes washer,234,Numeric,8
234,HELPCWY,Year of assistance for the clothes washer,235,Numeric,8
235,DRYER,Clothes dryer used in home,236,Numeric,8
236,DRYRFUEL,Fuel used by clothes dryer,237,Numeric,8
237,DRYRUSE,Frequency clothes dryer used,238,Numeric,8
238,AGECDRYER,Age of clothes dryer,239,Numeric,8
239,TVCOLOR,Number of televisions used,240,Numeric,8
240,TVSIZE1,Size of most-used TV,241,Numeric,8
241,TVTYPE1,Display type of most-used TV,242,Numeric,8
242,CABLESAT1,Cable box or satellite box connected to the most-used TV,243,Numeric,8
243,COMBODVR1,DVR built into the cable box or satellite box connected to the most-used TV,244,Numeric,8
244,DVR1,Separate DVR connected to the most-used TV,245,Numeric,8
245,DIGITSTB1,Digital converter box connected to the most-used TV,246,Numeric,8
246,PLAYSTA1,Video game console connected to the most-used TV,247,Numeric,8
247,COMBOVCRDVD1,Combo VCR/DVD connected to the most-used TV,248,Numeric,8
248,VCR1,VCR connected to the most-used TV,249,Numeric,8
249,DVD1,DVD player connected to the most-used TV,250,Numeric,8
250,TVAUDIOSYS1,Home theater system connected to the most-used TV,251,Numeric,8
251,OTHERSTB1,Other set-top box connected to the most-used TV,252,Numeric,8
252,TVONWD1,Most-used TV usage on weekdays,253,Numeric,8
253,TVONWDWATCH1,Most-used TV weekday usage spent playing video games,254,Numeric,8
254,TVONWE1,Most-used TV usage on weekends,255,Numeric,8
255,TVONWEWATCH1,Most-used TV weekend usage spent playing video games,256,Numeric,8
256,TVSIZE2,Size of second most-used TV,257,Numeric,8
257,TVTYPE2,Display type of second most-used TV,258,Numeric,8
258,CABLESAT2,Cable box or satellite box connected to the second most-used TV,259,Numeric,8
259,COMBODVR2,DVR built into the cable box or satellite box connected to the second most-used TV,260,Numeric,8
260,DVR2,Separate DVR connected to the second most-used TV,261,Numeric,8
261,DIGITSTB2,Digital converter box connected to the second most-used TV,262,Numeric,8
262,PLAYSTA2,Video game console connected to the second most-used TV,263,Numeric,8
263,COMBOVCRDVD2,Combo VCR/DVD connected to the second most-used TV,264,Numeric,8
264,VCR2,VCR connected to the second most-used TV,265,Numeric,8
265,DVD2,DVD player connected to the second most-used TV,266,Numeric,8
266,TVAUDIOSYS2,Home theater system connected to the second most-used TV,267,Numeric,8
267,OTHERSTB2,Other set-top box connected to the second most-used TV,268,Numeric,8
268,TVONWD2,Second most-used TV usage on weekdays,269,Numeric,8
269,TVONWDWATCH2,Second most-used TV weekday usage spent playing video games,270,Numeric,8
270,TVONWE2,Second most-used TV usage on weekends,271,Numeric,8
271,TVONWEWATCH2,Second most-used TV weekend usage spent playing video games,272,Numeric,8
272,TVSIZE3,Size of third most-used TV size,273,Numeric,8
273,TVTYPE3,Display type of third most-used TV,274,Numeric,8
274,CABLESAT3,Cable box or satellite box connected to the third most-used TV,275,Numeric,8
275,COMBODVR3,DVR built into the cable box or satellite box connected to the third most-used TV,276,Numeric,8
276,DVR3,Separate DVR connected to the third most-used TV,277,Numeric,8
277,DIGITSTB3,Digital converter box connected to the third most-used TV,278,Numeric,8
278,PLAYSTA3,Video game console connected to the third most-used TV,279,Numeric,8
279,COMBOVCRDVD3,Combo VCR/DVD connected to the third most-used TV,280,Numeric,8
280,VCR3,VCR connected to the third most-used TV,281,Numeric,8
281,DVD3,DVD player connected to the third most-used TV,282,Numeric,8
282,TVAUDIOSYS3,Home theater system connected to the third most-used TV,283,Numeric,8
283,OTHERSTB3,Other set-top box connected to the third most-used TV,284,Numeric,8
284,TVONWD3,Third most-used TV usage on weekdays,285,Numeric,8
285,TVONWDWATCH3,Third most-used TV weekday usage spent playing video games,286,Numeric,8
286,TVONWE3,Third most-used TV usage on weekends,287,Numeric,8
287,TVONWEWATCH3,Third most-used TV weekend usage spent playing video games,288,Numeric,8
288,COMPUTER,Computer used at home,289,Numeric,8
289,NUMPC,Number of computers used,290,Numeric,8
290,PCTYPE1,Most-used computer - desktop or laptop,291,Numeric,8
291,MONITOR1,Monitor type of most-used computer,292,Numeric,8
292,TIMEON1,Daily usage of most-used computer,293,Numeric,8
293,PCONOFF1,Turn off most-used computer when not in use,294,Numeric,8
294,PCSLEEP1,Sleep or standby mode for most-used computer when not in use,295,Numeric,8
295,PCTYPE2,Second most-used computer - desktop or laptop,296,Numeric,8
296,MONITOR2,Monitor type of second most-used computer,297,Numeric,8
297,TIMEON2,Daily usage of second most-used computer,298,Numeric,8
298,PCONOFF2,Turn off second most-used computer when not in use,299,Numeric,8
299,PCSLEEP2,Sleep or standby mode for second most-used computer when not in use,300,Numeric,8
300,PCTYPE3,Third most-used computer - desktop or laptop,301,Numeric,8
301,MONITOR3,Monitor type of third most-used computer,302,Numeric,8
302,TIMEON3,Daily usage of third most-used computer,303,Numeric,8
303,PCONOFF3,Turn off third most-used computer when not in use,304,Numeric,8
304,PCSLEEP3,Sleep or standby mode for third most-used computer when not in use,305,Numeric,8
305,INTERNET,Internet access at home,306,Numeric,8
306,INDIALUP,Dial-up internet access,307,Numeric,8
307,INDSL,DSL or Fiber Optic internet access,308,Numeric,8
308,INCABLE,Cable internet access,309,Numeric,8
309,INSATEL,Satellite internet access,310,Numeric,8
310,INWIRELESS,Wireless internet in home,311,Numeric,8
311,PCPRINT,Number of printers used,312,Numeric,8
312,FAX,Separate fax machine used,313,Numeric,8
313,COPIER,Separate copy machine used,314,Numeric,8
314,WELLPUMP,Well water pump used,315,Numeric,8
315,DIPSTICK,Automotive block or engine heater or battery blanket used,316,Numeric,8
316,SWAMPCOL,Evaporative cooler used,317,Numeric,8
317,AQUARIUM,Large heated aquarium used,318,Numeric,8
318,STEREO,Stereo equipment used,319,Numeric,8
319,NOCORD,Cordless telephone used,320,Numeric,8
320,ANSMACH,Answering machine used,321,Numeric,8
321,BATTOOLS,Number of rechargeable tools and appliances used,322,Numeric,8
322,BATCHRG,Charging patterns for rechargeable tools and appliances,323,Numeric,8
323,CHRGPLGT,Chargers for rechargeable tools and appliances left plugged into wall,324,Numeric,8
324,ELECDEV,Number of rechargeable electronic devices used,325,Numeric,8
325,ELECCHRG,Charging patterns for rechargeable electronic devices,326,Numeric,8
326,CHRGPLGE,Chargers for rechargeable electronic devices left plugged into wall,327,Numeric,8
327,ZCWASHER,Imputation flag for CWASHER,328,Numeric,8
328,ZTOPFRONT,Imputation flag for TOPFRONT,329,Numeric,8
329,ZWASHLOAD,Imputation flag for WASHLOAD,330,Numeric,8
330,ZWASHTEMP,Imputation flag for WASHTEMP,331,Numeric,8
331,ZRNSETEMP,Imputation flag for RNSETEMP,332,Numeric,8
332,ZAGECWASH,Imputation flag for AGECWASH,333,Numeric,8
333,ZDRYER,Imputation flag for DRYER,334,Numeric,8
