key,user
50838,xuechunw
338770,aayushi
624625,liuyutao
883247,jimchien
287562,zeyuanli
839285,aayushi
794998,kedwaty
961720,mingjia
130699,sachkak
883729,tangsw
133257,srtoner
346056,ziyigao
40219,lihsuanl
29008,lihsuanl
809514,jimchien
329176,mengtong
172074,wdingyu
51191,juliaweb
930796,fengyx
767211,lishuyan
54779,lydiajr
17392,xiaojunw
582354,xizx
341893,luosanj
669708,edwardzc
129928,junqianl
256012,liuyutao
983311,jialezha
301653,yuruic
236404,itskeira
963399,mengtona
202307,edwardzc
154782,mingjia
277356,ytfeng
591513,bmatthys
952057,aayushi
3234,xinhew
559702,krishrao
411483,krishrao
828897,ytfeng
488004,lydiajr
2516,mengtong
63099,ichenliu
340419,xinfengl
506179,yanyanxu
500236,chitt
992976,yanyanxu
615762,mengtong
172136,aayushi
674235,kailanxu
722445,yuchenma
222025,xizx
63567,tangsw
121768,ajhedri
702582,luosanj
106652,pengfeil
305010,jimchien
481559,xiying
607666,bmatthys
470254,shirazi
188992,ytfeng
210585,brouwers
796564,luosanj
116465,jxichen
168387,ziyigao
879679,ytfeng
887886,falarcon
946266,pxchen
766541,wkailin
579799,jialezha
372693,mengtong
436482,jimchien
235402,luosanj
36577,wkailin
44400,yuchi
605954,junqianl
555030,bingnanq
167505,xyiliu
89763,xiying
211665,simoncxt
371174,falarcon
679002,wangzeh
104640,hajohns
888396,chitt
1081,xinhew
594677,junyyang
362617,luosanj
4126,qinlu
370964,sachkak
151197,mzhale
308034,mzhale
852067,kunhengl
534191,mengtona
115916,xiaojunw
11421,yumengwa
33479,srtoner
100183,brouwers
711961,nuona
147332,ziyigao
256570,shirazi
692037,aheldric
642398,mscholes
334272,xizx
524579,brouwers
668215,junqianl
499711,wangzeh
80045,wshihao
235012,ahuseyno
989320,jialezha
535207,jialezha
909178,xinfengl
113893,zeyuanli
568234,ahuseyno
894357,shushuz
416196,ranyan
334005,berlands
41221,qinlu
825978,wdingyu
875146,itskeira
595517,hajohns
992576,simoncxt
779367,xinfengl
77552,yuelinhe
60356,yuchi
571440,prajnaty
961016,dongming
755951,boyazh
796770,xiying
368117,maxstauf
978274,sfgreen
237774,patelana
250609,kunhengl
526448,pxchen
937853,wutongg
52113,lihsuanl
623459,shushuz
211112,gxchen
726331,hajohns
544123,eochoa
329697,kailanxu
226887,patelana
43080,yuchi
572176,xinfengl
713493,junyyang
36810,berlands
868777,boyazh
718184,xinhew
982810,yangyli
670828,wangzeh
396636,fangqing
398776,nkernik
726623,mengtona
717634,itskeira
420743,shirazi
152712,tangsw
655404,krishrao
733231,krishrao
73494,mscholes
20848,ichenliu
101432,kalkiek
740015,sachkak
538033,lihsuanl
953707,zzenghao
129261,kailanxu
983543,aayushi
553569,yuchi
339970,kalkiek
367133,nuona
156992,anuraagr
268563,junqianl
562705,brouwers
620511,krishrao
44677,luosanj
700891,junqianl
915993,ytfeng
45260,wkailin
469611,ahuseyno
252066,kunhengl
974111,sfgreen
104837,wshihao
870107,luosanj
446836,juliaweb
74322,kunhengl
706805,shushuz
142358,eochoa
489876,anuraagr
523279,angxu
785643,xiaojunw
64723,mingjia
337387,eochoa
859312,prajnaty
472343,yanyanxu
420261,angxu
13984,wangzeh
562989,yuelinhe
512809,qinlu
931663,kedwaty
127791,gxchen
370179,ajhedri
456822,falarcon
719572,xinhew
357940,kedwaty
746193,gxchen
839061,mengtona
795725,chitt
201384,jxichen
105115,aheldric
704669,angxu
183666,wdingyu
862030,juliaweb
925497,zeyuanli
155842,angxu
101008,ytfeng
914964,pengfeil
601041,ichenliu
370532,berlands
553211,krishrao
194176,jialezha
108637,yanyanxu
402746,junyyang
599370,ahuseyno
11148,maxstauf
476997,kedwaty
450451,ziyigao
356858,prajnaty
946435,seankell
379156,nkernik
486460,jxichen
848484,tangsw
787249,wkailin
421612,xiying
260530,mingjia
382772,junyyang
754787,xinfengl
743032,ziyigao
621909,lishuyan
173715,xizx
368135,houyuj
975355,hajohns
323273,xinhew
754812,kedwaty
65803,juliaweb
639676,maxstauf
342899,brouwers
50902,bagyare
759305,sfgreen
487718,prajnaty
256214,wshihao
683545,berlands
371864,xiying
869540,junyyang
740807,berlands
342235,xyiliu
763980,yuruic
487394,jhgoblue
900871,nuona
963693,luosanj
310922,wangzeh
86850,patelana
255046,xinhew
470840,fengyx
682066,xinhew
455629,bagyare
182938,zzenghao
216240,krishrao
427794,wdingyu
3469,mengtong
35711,kalkiek
725371,tangsw
314679,fengyx
796828,yuchi
394653,jxichen
916817,patelana
218852,ytfeng
702655,ahuseyno
321747,xiying
627934,xuechunw
562361,wangzeh
724140,mengtona
850669,itskeira
636676,junqianl
892336,wdingyu
826035,tiejin
820334,zzenghao
966003,shushuz
812778,fengyx
700074,seankell
562037,kailanxu
179704,wenxiul
79967,mengtong
21203,junyyang
984213,xuechunw
424021,xinfengl
782779,lihsuanl
752060,qinlu
261816,juliaweb
330656,bagyare
204703,wkailin
585022,lydiajr
712224,boyazh
652321,liuyutao
794636,shushuz
211444,gxchen
807146,pxchen
324064,luosanj
383193,chitt
45484,xuechunw
858071,mengtong
666194,qinlu
743451,srtoner
608157,wutongg
345226,jhgoblue
790678,mengtona
445905,yangyli
337007,aheldric
391293,angxu
479444,sfgreen
438967,junqianl
304011,anuraagr
722481,fangqing
291475,mingjia
649934,yanyanxu
112444,yuelinhe
861881,boyazh
900354,yuruic
744144,jhgoblue
953325,wshihao
174491,wutongg
729285,shushuz
686540,junqianl
343965,dongming
84963,angxu
961611,ytfeng
483576,srtoner
44906,yuruic
331231,kedwaty
558553,anuraagr
625811,mengtona
101782,yuruic
242986,kedwaty
782940,houyuj
198120,lydiajr
546666,anuraagr
339195,lihsuanl
101410,kunhengl
631945,wangzeh
424572,yumengwa
718684,chitt
714846,xizx
975401,kalkiek
132040,itskeira
702316,nkernik
379505,jialezha
260391,mengtong
412569,wutongg
260536,nuona
596495,fangqing
891632,junyyang
302030,ajhedri
867138,wshihao
562353,ranyan
280054,ichenliu
245373,xinhew
520600,chitt
126967,wshihao
555,ziyigao
409176,krishrao
835257,seankell
648498,bmatthys
897302,patelana
255487,pxchen
181811,jimchien
143505,zzenghao
926158,nkernik
7992,qinlu
971200,xizx
3587,yuchenma
870944,mengtona
393411,kunhengl
794167,dongming
869770,eochoa
859693,wutongg
313061,yangyli
695715,hajohns
838666,jimchien
244461,fengyx
806007,kailanxu
124872,chitt
308599,boyazh
495614,srtoner
264419,jialezha
464111,yumengwa
302036,kalkiek
847076,krishrao
211857,wdingyu
900313,eochoa
393917,pengfeil
648862,xinfengl
36323,wshihao
830385,pengfeil
891433,yuelinhe
269408,lihsuanl
884884,qinlu
269374,seankell
657256,houyuj
431713,chitt
114591,sachkak
235753,simoncxt
79004,kalkiek
903207,aayushi
795873,bagyare
603045,tiejin
887023,falarcon
222593,xyiliu
362344,sachkak
756433,nkernik
940696,itskeira
114271,gxchen
83471,nkernik
363939,berlands
519979,prajnaty
751026,wshihao
609496,yuelinhe
871100,liuyutao
479720,hajohns
357134,itskeira
55555,berlands
600605,ajhedri
223365,tangsw
92155,patelana
972556,berlands
48169,xuechunw
494988,tiejin
162415,mengtona
739419,xyiliu
559264,shirazi
57981,fengyx
456481,aheldric
453610,ajhedri
262690,yuchi
331393,sfgreen
875986,yuchenma
560087,nuona
379909,chitt
321208,wutongg
104210,mingjia
894244,lihsuanl
788394,lihsuanl
149524,lydiajr
611240,fengyx
540234,seankell
315093,kedwaty
606271,chitt
675883,lihsuanl
884365,zzenghao
239967,wangzeh
813913,pxchen
489052,anuraagr
917737,berlands
505098,xiying
190166,jxichen
2323,xyiliu
976319,pxchen
112381,xyiliu
271238,sfgreen
886041,xyiliu
79421,lihsuanl
404446,ziyigao
448818,wutongg
241472,lishuyan
677627,brouwers
907059,juliaweb
287380,junqianl
476150,chitt
940651,xyiliu
285423,brouwers
589550,luosanj
440441,qinlu
382946,lihsuanl
687491,mengtona
979658,falarcon
332526,pengfeil
118672,boyazh
236528,shushuz
99770,nkernik
927293,dongming
941399,ytfeng
396867,sfgreen
153600,nuona
358066,prajnaty
947023,xizx
346109,yuruic
232166,liuyutao
539143,mengtong
194489,xiying
111719,falarcon
791756,srtoner
695564,ahuseyno
813522,krishrao
407377,krishrao
90489,zeyuanli
911147,bmatthys
692250,houyuj
177572,mengtona
776387,fangqing
341924,prajnaty
684903,ziyigao
100139,yuchi
705491,wangzeh
99378,pengfeil
944568,kailanxu
665947,houyuj
884983,mscholes
122575,xiying
145201,nkernik
159945,ziyigao
757175,yuchenma
441550,jialezha
880859,pxchen
986074,gxchen
435716,lishuyan
282646,xuechunw
494310,wangzeh
901347,hajohns
879079,yuchenma
126894,simoncxt
41800,nuona
200430,xyiliu
802773,ranyan
718908,aheldric
460273,bagyare
795205,edwardzc
213176,ichenliu
811738,jimchien
97870,xinfengl
757001,tiejin
720817,ranyan
665862,anuraagr
705575,tiejin
49879,junqianl
680262,wshihao
304934,boyazh
860294,houyuj
742630,houyuj
322102,xiying
111527,qinlu
888647,fengyx
547102,yumengwa
160799,shirazi
827623,ichenliu
383287,jxichen
761863,wangzeh
757247,falarcon
591435,yuchenma
412554,bmatthys
395845,ytfeng
507749,yanyanxu
714159,xiaojunw
174333,wutongg
125091,pengfeil
635119,yuchi
653820,yumengwa
320760,simoncxt
837896,bmatthys
320103,yuelinhe
480837,mzhale
225905,yuelinhe
929227,kunhengl
523679,nuona
319379,jimchien
476710,yanyanxu
607276,krishrao
696294,shirazi
9286,berlands
588695,krishrao
157607,edwardzc
806502,patelana
910798,lihsuanl
309723,nuona
823928,wenxiul
770499,xyiliu
844163,xyiliu
772598,jimchien
129327,yuchenma
640721,sachkak
619083,srtoner
224255,yuruic
118461,simoncxt
73125,luosanj
42774,yuelinhe
387303,dongming
524523,xizx
714583,ytfeng
729640,ziyigao
474824,srtoner
640302,wkailin
837998,kunhengl
484020,aayushi
669838,tiejin
712720,zzenghao
307193,wdingyu
73708,yanyanxu
588038,yuchenma
449106,yuchenma
495945,jhgoblue
423979,tangsw
620647,xuechunw
183103,juliaweb
797503,bingnanq
41421,hajohns
201176,xiaojunw
494601,gxchen
977143,mengtong
882392,hajohns
617300,nuona
282597,tangsw
71075,wshihao
971939,jhgoblue
64517,xizx
776882,pengfeil
835729,luosanj
961438,boyazh
446179,mengtona
403282,lydiajr
151356,bingnanq
514591,patelana
882715,yangyli
190926,jialezha
36659,luosanj
208086,seankell
640187,houyuj
311452,lishuyan
257101,brouwers
84052,liuyutao
21578,aheldric
703957,ichenliu
913809,angxu
317157,wenxiul
939644,krishrao
266395,yangyli
1042,yuchi
181908,xinhew
231771,chitt
200402,sachkak
608047,junyyang
675824,sachkak
793136,kedwaty
86549,ahuseyno
829251,sfgreen
66037,jialezha
733979,luosanj
667218,tiejin
790377,kedwaty
819850,mingjia
733575,itskeira
357449,wkailin
652060,chitt
331997,junqianl
177795,wutongg
941178,xinhew
625107,tiejin
878247,sfgreen
346959,ajhedri
337925,kalkiek
954220,yuruic
301456,junyyang
81269,junqianl
806329,falarcon
795040,ranyan
807979,houyuj
37670,edwardzc
372737,xyiliu
680254,xyiliu
469598,junqianl
873626,wangzeh
851174,wkailin
997827,krishrao
921423,wenxiul
797305,pxchen
292493,edwardzc
924720,jialezha
890980,brouwers
503753,zzenghao
575227,angxu
722264,junqianl
224457,jialezha
287712,tangsw
693439,hajohns
33749,jhgoblue
341784,krishrao
468511,pxchen
34096,patelana
553945,tiejin
967142,xuechunw
576582,ahuseyno
6233,nkernik
310581,maxstauf
937753,juliaweb
565992,krishrao
602877,krishrao
487491,anuraagr
939047,boyazh
787423,lydiajr
921579,ranyan
819933,ranyan
326787,mscholes
434542,falarcon
148310,mzhale
251727,krishrao
449269,liuyutao
473459,fangqing
946828,ahuseyno
471785,dongming
822414,zzenghao
623402,sfgreen
720938,edwardzc
462921,dongming
836487,juliaweb
204556,kedwaty
723156,xyiliu
433912,junyyang
252386,anuraagr
602505,aayushi
773536,juliaweb
699830,gxchen
258251,mengtong
62592,hajohns
487256,yuchi
639822,hajohns
596755,kunhengl
339802,jhgoblue
133591,krishrao
636695,yuruic
708873,mingjia
716986,ahuseyno
247617,xinfengl
425228,wutongg
131444,liuyutao
175306,kunhengl
238706,shushuz
643812,yuchenma
788262,wshihao
507036,pxchen
673520,wenxiul
452601,falarcon
639804,xiaojunw
922029,juliaweb
204277,ranyan
95830,brouwers
296528,houyuj
758419,zeyuanli
877703,qinlu
89845,liuyutao
938445,gxchen
698168,lydiajr
786898,mengtong
553306,yuchenma
868526,edwardzc
485970,anuraagr
533404,mengtona
529973,itskeira
52719,ichenliu
847582,mscholes
132120,xiaojunw
585466,yumengwa
572123,zzenghao
829532,ahuseyno
405459,nuona
816966,mengtona
390019,jialezha
663007,prajnaty
785068,itskeira
321410,juliaweb
397011,wkailin
588717,yanyanxu
119224,mzhale
871102,pengfeil
577784,luosanj
497083,mengtong
999123,yuchi
236346,pxchen
620271,qinlu
615711,dongming
546753,sachkak
610651,anuraagr
930884,eochoa
243823,kunhengl
966719,lishuyan
95223,berlands
831583,ranyan
359616,pxchen
907060,xyiliu
956196,tiejin
788810,xiying
40621,ytfeng
914957,mengtong
953862,yanyanxu
937018,wangzeh
893238,chitt
186742,yuelinhe
84699,zeyuanli
73703,yuruic
237337,srtoner
918483,anuraagr
173985,junyyang
614628,mengtona
159468,chitt
451333,mzhale
35595,mingjia
843391,yangyli
207577,mengtona
574230,yanyanxu
565138,mengtona
223296,wdingyu
142697,kunhengl
929425,simoncxt
966153,mengtong
260537,bingnanq
496732,seankell
539243,boyazh
993110,prajnaty
84408,fengyx
450038,itskeira
206687,junyyang
279713,jhgoblue
695465,nuona
506501,wutongg
447987,prajnaty
52939,tangsw
79138,ajhedri
937854,sfgreen
211553,wkailin
427406,yuchi
843584,ziyigao
153120,itskeira
4905,wangzeh
938074,chitt
431956,xyiliu
482744,berlands
648088,xinhew
691360,mengtong
246742,tangsw
294137,yumengwa
735746,xiaojunw
952088,seankell
837844,pengfeil
94430,sachkak
54517,qinlu
990679,xizx
430551,yuchi
311755,ichenliu
527594,wkailin
467358,wangzeh
108930,bmatthys
579263,shushuz
612828,eochoa
586619,krishrao
715564,wdingyu
91794,tangsw
864538,kunhengl
272818,srtoner
73595,jialezha
441629,jhgoblue
836630,yanyanxu
251901,nuona
960749,mzhale
679919,yuruic
438350,jhgoblue
879305,qinlu
507160,lihsuanl
772602,zeyuanli
581367,angxu
461527,tiejin
63706,patelana
300650,jhgoblue
276129,fangqing
511665,ytfeng
734206,tangsw
251386,mengtona
752284,xiaojunw
36714,prajnaty
839191,ichenliu
671349,aheldric
526216,jhgoblue
486852,mscholes
349392,shirazi
59842,qinlu
313216,aayushi
637670,junqianl
851617,brouwers
95213,hajohns
20678,pxchen
402990,ziyigao
233389,ichenliu
904504,yumengwa
270802,junqianl
939441,juliaweb
238818,houyuj
528521,simoncxt
367365,aheldric
615668,lydiajr
436876,fangqing
103563,mzhale
329426,wkailin
410856,maxstauf
356518,maxstauf
907715,yuruic
943979,xuechunw
683698,wutongg
229629,tangsw
605317,mengtong
49442,xinhew
185971,wdingyu
681157,mengtona
181531,brouwers
796270,kalkiek
872935,aayushi
372513,xiying
831136,jialezha
941505,itskeira
567622,gxchen
953617,houyuj
490538,mscholes
424571,yumengwa
986321,ahuseyno
989610,itskeira
532361,liuyutao
73215,pengfeil
298449,falarcon
64799,shushuz
903299,yuruic
229783,fangqing
860855,ahuseyno
538282,brouwers
437063,yuchenma
568145,pengfeil
125860,chitt
31540,mengtona
759913,lihsuanl
670631,shushuz
501434,jialezha
153159,pxchen
974069,tiejin
944903,wutongg
679741,xizx
625903,eochoa
583295,brouwers
174852,wangzeh
119145,houyuj
422278,nkernik
341134,ytfeng
450120,fangqing
573004,sachkak
448608,lihsuanl
847230,jimchien
240389,pxchen
426547,xuechunw
322166,xinfengl
274847,ichenliu
726116,wshihao
761978,aayushi
602258,tangsw
22858,hajohns
914554,yuchenma
612018,qinlu
484577,juliaweb
416362,junyyang
417350,nuona
308137,fangqing
669022,zeyuanli
62595,boyazh
731335,fangqing
100949,ranyan
745612,xyiliu
954600,ahuseyno
280678,wenxiul
263675,tangsw
136823,hajohns
562652,ichenliu
496655,xizx
861192,junyyang
14169,angxu
997470,nkernik
657113,patelana
984837,ajhedri
35175,maxstauf
611736,junyyang
202557,wdingyu
833394,fengyx
537258,kedwaty
773089,fangqing
272341,fengyx
276871,brouwers
922440,aheldric
298732,edwardzc
913841,aheldric
858548,aayushi
872289,yanyanxu
851469,wenxiul
817091,mzhale
